item_id,figure,panel,manuscript_role,conclusion,source_data_path,key_results_path,panel_map_path,export_qc_path,exists_source_data,exists_key_results,exists_panel_map,exists_export_qc
SD11,Figure 2,E,main_panel_source_data,The 144-gene malignant-state component is decomposed into three scoreable co-expression clusters.,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/source_data/figure2_panel_e_malignant_module_cluster_sizes.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD12,Figure 2,F,main_panel_source_data,"Malignant clusters show cross-modal support, with M1 as the dominant component and M2/M3 as smaller context-sensitive components.",Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/source_data/figure2_panel_f_malignant_cluster_cross_modal_support.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD13,Figure 3,A,main_panel_source_data,Core GBmap provides a main author-neoplastic entry and strict aneuploid sensitivity without reusing Neftel2019.,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/source_data/figure3_panel_a_core_gbmap_inference_frame.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_key_results.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_panel_map.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD14,Figure 3,B,main_panel_source_data,Donor fixed-effect models place the frozen union highest in AC-like reference state and lower in OPC/NPC/MES.,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/source_data/figure3_panel_b_state_preference_fixed_effect.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_key_results.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_panel_map.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD15,Figure 3,C,main_panel_source_data,Within-state donor-level LAP3-state coupling is strongest in AC/MES/OPC; NPC is weaker for union but supported by no-translation/proteostasis sensitivity.,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/source_data/figure3_panel_c_within_state_lap3_state_coupling.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_key_results.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_panel_map.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD16,Figure 3,D,main_panel_source_data,The 20-cell donor-state threshold retains all four malignant states and 50-cell sensitivity remains feasible.,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/source_data/figure3_panel_d_threshold_retention.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_key_results.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_panel_map.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD17,Figure 3,E,main_panel_source_data,Submodule decomposition shows malignant-state and context modules contribute differently across AC/MES/NPC/OPC.,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/source_data/figure3_panel_e_submodule_decomposition.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_key_results.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_panel_map.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD18,Figure 3,F,main_panel_source_data,The malignant-state arm decomposes into M1/M2/M3 with state-dependent LAP3 coupling.,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/source_data/figure3_panel_f_malignant_cluster_decomposition.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_key_results.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_panel_map.csv,Data_scRNA_GEO/GBmap_Core/results/Figure3_Core_GBmap_Decomposition/tables/figure3_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD19,Figure 4,A,main_panel_source_data,"GBM-Space analysis uses tumor-aware, depth-adjusted topology summaries.",Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/source_data/figure4_panel_a_cohort_summary.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_key_results.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_panel_map.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD20,Figure 4,B,primary_spatial_topology,LAP3_STATE_UNION is spatially enriched near TAM/myeloid and gliosis/malignant-state readouts.,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/source_data/figure4_panel_b_neighbor_topology.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_key_results.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_panel_map.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD21,Figure 4,C,supportive_directional_contrast,Top-neighborhood contrasts reproduce the gliosis and malignant-state enrichment pattern.,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/source_data/figure4_panel_c_neighbor_contrast.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_key_results.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_panel_map.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD22,Figure 4,D,main_panel_source_data,Tumor-level effects show whether topology signals are broadly distributed across tumors.,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/source_data/figure4_panel_d_tumor_effects.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_key_results.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_panel_map.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD23,Figure 4,E,main_panel_source_data,Leave-one-tumor-out intervals test whether selected signals depend on a single tumor.,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/source_data/figure4_panel_e_leave_one_tumor_out.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_key_results.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_panel_map.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD24,Figure 4,F,main_panel_source_data,The 144-gene malignant-state module and M1/M2/M3 clusters project back onto GBM-Space topology.,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/source_data/figure4_panel_f_malignant_module_projection.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_key_results.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_panel_map.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD25,Figure 5,A,main_panel_source_data,CPTAC and GLASS layers are separated by inference unit and evidentiary role.,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/source_data/figure5_panel_a_cohort_frame.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD26,Figure 5,B,main_panel_source_data,LAP3 protein tracks LAP3 mRNA and state/submodule protein-mRNA scores.,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/source_data/figure5_panel_b_cptac_lap3_protein_bridge.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD27,Figure 5,C,boundary_evidence,Direct BCAA remains null whereas phospho mTORC1 target score is only cross-sectional.,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/source_data/figure5_panel_c_cptac_bcaa_phospho_boundary.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD28,Figure 5,D,main_panel_source_data,Patient-level delta LAP3 is strongly coordinated with delta state modules.,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/source_data/figure5_panel_d_glass_delta_coordination.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD29,Figure 5,E,boundary_evidence,There is no uniform recurrence activation across all paired tumors.,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/source_data/figure5_panel_e_glass_recurrence_boundary.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/tables/figure5_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD30,Supplementary Figure S4A,S4A,representative_visual_companion,"Rule-selected GBM-Space Visium representative section map for LAP3-state, LAP3 expression and Proliferative TAMs.",Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/source_data/figure4_representative_spatial_map.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_representative_spatial_map_key_results.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_representative_spatial_map_selection_candidates.csv,Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_representative_spatial_map_export_qc.csv,TRUE,TRUE,TRUE,TRUE
